Price,Adj Close,Close,High,Low,Open,Volume
Ticker,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS
Date,,,,,,
2017-01-02 00:00:00+00:00,484.0429992675781,487.04998779296875,488.70001220703125,469.04998779296875,472.0,4024156
2017-01-03 00:00:00+00:00,478.1297607421875,481.1000061035156,492.70001220703125,479.8999938964844,491.0,5814518
2017-01-04 00:00:00+00:00,483.6454772949219,486.6499938964844,493.70001220703125,484.1000061035156,484.6499938964844,4769872
2017-01-05 00:00:00+00:00,499.0497741699219,502.1499938964844,503.3999938964844,495.54998779296875,496.0,7961242
2017-01-06 00:00:00+00:00,494.67694091796875,497.75,507.95001220703125,496.25,502.95001220703125,4907475
2017-01-09 00:00:00+00:00,497.0621032714844,500.1499938964844,504.6000061035156,492.1499938964844,499.3999938964844,3932710
2017-01-10 00:00:00+00:00,513.062744140625,516.25,518.0,505.95001220703125,506.54998779296875,7973024
2017-01-11 00:00:00+00:00,516.044189453125,519.25,523.9500122070312,517.1500244140625,520.25,4886398
2017-01-12 00:00:00+00:00,515.0503540039062,518.25,524.0,513.2000122070312,521.7000122070312,4219627
2017-01-13 00:00:00+00:00,511.67132568359375,514.8499755859375,523.25,507.5,523.25,6367248
2017-01-16 00:00:00+00:00,523.1500854492188,526.4000244140625,529.4500122070312,517.0,518.6500244140625,6084582
2017-01-17 00:00:00+00:00,520.4667358398438,523.7000122070312,530.7999877929688,521.0,528.0999755859375,4297426
2017-01-18 00:00:00+00:00,519.2244873046875,522.4500122070312,529.5999755859375,521.2000122070312,523.0499877929688,5874608
2017-01-19 00:00:00+00:00,528.1688842773438,531.4500122070312,535.5999755859375,522.7000122070312,523.0,5810128
2017-01-20 00:00:00+00:00,519.9697875976562,523.2000122070312,529.2999877929688,521.25,527.4000244140625,5013928
2017-01-23 00:00:00+00:00,529.4111938476562,532.7000122070312,534.9500122070312,523.0,523.2000122070312,4209879
2017-01-24 00:00:00+00:00,538.2064819335938,541.5499877929688,543.0,532.3499755859375,533.0,5183630
2017-01-25 00:00:00+00:00,545.5111694335938,548.9000244140625,551.9000244140625,541.5499877929688,543.25,4504941
2017-01-27 00:00:00+00:00,538.6040649414062,541.9500122070312,552.0,539.75,549.0,4493803
2017-01-30 00:00:00+00:00,529.0136108398438,532.2999877929688,543.5,530.7999877929688,542.0,4163428
2017-01-31 00:00:00+00:00,520.3176879882812,523.5499877929688,531.5,518.0,530.2000122070312,6035022
2017-02-01 00:00:00+00:00,538.9022216796875,542.25,544.5,522.9000244140625,527.5,4786720
2017-02-02 00:00:00+00:00,528.2185668945312,531.5,537.5999755859375,526.7999877929688,537.5999755859375,6579801
2017-02-03 00:00:00+00:00,519.37353515625,522.5999755859375,531.9000244140625,519.5,531.9000244140625,5298261
2017-02-06 00:00:00+00:00,522.6033935546875,525.8499755859375,531.4500122070312,523.2000122070312,527.9000244140625,3642527
